Period,Births_Deaths_or_Natural_Increase,Count
2020,Births,57573
2021,Births,58659
2022,Births,58887
2020,Deaths,32613
2021,Deaths,34932
2022,Deaths,38574
2020,Natural_Increase,24960
2021,Natural_Increase,23727
2022,Natural_Increase,20313
