Period,Births_Deaths_or_Natural_Increase,Count
2015,Births,61038
2016,Births,59430
2017,Births,59610
2018,Births,58020
2019,Births,59637
2015,Deaths,31608
2016,Deaths,31179
2017,Deaths,33339
2018,Deaths,33225
2019,Deaths,34260
2015,Natural_Increase,29430
2016,Natural_Increase,28251
2017,Natural_Increase,26268
2018,Natural_Increase,24795
2019,Natural_Increase,25377
